info: [F: 24986] timeMs,evt,a,b,c,d,s
656413,1,2,8.5,15.5222425449913,2.89703432733449,CL
656413,5,2.09555149100173,1.5,-0.698517163667244,2.89703432733449,
659579,1,2,28.5,21.9784616290057,2.17590854886602,CL
659579,5,0.804307674198859,1.5,-0.128399125332838,2.17590854886602,
663121,1,2,25.5,23.5981962983081,1.98562375135894,CL
663121,5,0.480360740338385,1.5,0.00526301102055457,1.98562375135894,
666085,1,2,30.4,26.5273093076822,-1.40597725209505,CL
666085,5,-0.105461861536437,-1.5,0.199484609441384,-1.40597725209505,
669082,1,2,30.1,28.0352638965103,-1.64693478582708,CL
669082,5,-0.407052779302062,-1.5,0.260117993474983,-1.64693478582708,
669082,2,2,0,30.1,0,MEDIUM
670277,1,0,25.2,27.0391957244479,-1.69895838452208,CL
670277,5,-0.207839144889575,-1.5,0.00888076036749882,-1.69895838452208,
671326,1,0,28.6,27.5281766464907,-1.70073453659558,CL
671326,5,-0.305635329298144,-1.5,0.104900792702568,-1.70073453659558,
672441,1,0,27,27.3707054834508,-1.72171469513609,CL
672441,5,-0.274141096690158,-1.5,0.0524264015540687,-1.72171469513609,
673473,1,0,29.1,27.8659717363954,-1.7321999754469,CL
673473,5,-0.373194347279086,-1.5,0.140994371832183,-1.7321999754469,
674472,1,0,30.1,28.4884933214942,-1.76039884981334,CL
674472,5,-0.49769866429884,-1.5,0.2372998144855,-1.76039884981334,
675481,1,0,29.8,28.8493258024157,-1.80785881271044,CL
675481,5,-0.569865160483139,-1.5,0.262006347772699,-1.80785881271044,
676490,1,0,29.8,29.1091172166745,-1.86026008226498,CL
676490,5,-0.621823443334895,-1.5,0.261563361069916,-1.86026008226498,
677767,1,0,23.5,27.5037362459728,-1.91257275447896,CL
677767,5,-0.300747249194566,-1.5,-0.111825505284397,-1.91257275447896,
679507,1,0,17.3,24.2878591518191,1.10979234657792,CL
679507,5,0.342428169636172,1.5,-0.732635823058255,1.10979234657792,
681111,1,0,18.8,22.5191537585974,1.25631951118957,CL
681111,5,0.696169248280526,1.5,-0.939849737090959,1.25631951118957,
681111,2,0,1,18.8,0,MEDIUM
684296,1,1,18.9,21.1057328523632,1.58563154923118,CL
684296,5,0.978853429527363,1.5,-0.893221880296185,1.58563154923118,
687379,1,1,19.5,20.4451942154729,1.83032978897945,CL
687379,5,1.11096115690543,1.5,-0.780631367925981,1.83032978897945,
687379,2,1,2,19.5,0,LOW
690743,1,2,26.8,23.1640340278016,1.62394408758748,CL
690743,5,0.567193194439689,1.5,-0.443249106852205,1.62394408758748,
693824,1,2,29.3,25.765335129084,1.36575376212027,CL
693824,5,0.0469329741832098,1.5,-0.181179212062938,1.36575376212027,
696817,1,2,30.1,27.5845890297873,-1.84057758222758,CL
696817,5,-0.316917805957451,-1.5,-0.0236597762701301,-1.84057758222758,
696817,2,2,0,30.1,0,MEDIUM
698192,1,0,21.9,25.5505222160527,1.16415437302645,CL
698192,5,0.0898955567894511,1.5,-0.425741183763006,1.16415437302645,
699974,1,0,16.9,22.5317724479808,1.24930260977905,CL
699974,5,0.69364551040383,1.5,-0.944342900624784,1.24930260977905,
699974,2,0,1,16.9,0,MEDIUM
704703,1,1,12.7,18.0965358545672,1.88169484924537,CL
704703,5,1.58069282908656,1.5,-1.19899797984119,1.88169484924537,
708487,1,1,15.9,17.1006125756168,2.22108677310865,CL
708487,5,1.77987748487665,1.5,-1.058790711768,2.22108677310865,
708487,2,1,2,15.9,0,LOW
711857,1,2,26.8,21.3825775878715,1.86191624716162,CL
711857,5,0.923484482425701,1.5,-0.561568235264082,1.86191624716162,
715241,1,2,26.6,23.6686457265824,1.66942080905298,CL
715241,5,0.466270854683522,1.5,-0.29685004563054,1.66942080905298,
718371,1,2,28.8,25.8697406506374,1.43531149497176,CL
718371,5,0.02605186987252,1.5,-0.0907403749007644,1.43531149497176,
721342,1,2,30.3,27.7332961994006,-1.79501450321652,CL
721342,5,-0.346659239880119,-1.5,0.0516447366636015,-1.79501450321652,
721342,2,2,0,30.3,0,MEDIUM
722341,1,0,30.1,28.5435135899064,-1.80534345054924,CL
722341,5,-0.508702717981285,-1.5,0.203359267432047,-1.80534345054924,
723345,1,0,29.9,28.9597845727149,-1.84601530403565,CL
723345,5,-0.591956914542982,-1.5,0.245941610507335,-1.84601530403565,
724219,4,0,29.9,26,0,MEDIUM
725309,1,0,27.6,28.7379800853485,-1.5,CL
725309,5,-0.547596017069702,-1.5,0.547596017069702,-1.5,
726305,1,0,30.2,29.3005398860999,-1.60951920341394,CL
726305,5,-0.660107977219978,-1.5,0.550588773806038,-1.60951920341394,
727330,1,0,29.3,29.3003630016956,-1.71963695817515,CL
727330,5,-0.660072600339124,-1.5,0.440435642163976,-1.71963695817515,
728433,1,0,27.2,28.6606822902287,-1.80772408660794,CL
728433,5,-0.532136458045742,-1.5,0.224412371437799,-1.80772408660794,
729512,1,0,27.9,28.4385524466312,-1.8526065608955,CL
729512,5,-0.48771048932624,-1.5,0.135103928430737,-1.8526065608955,
730513,1,0,30,28.8783622573033,-1.87962734658165,CL
730513,5,-0.575672451460663,-1.5,0.196045104879013,-1.87962734658165,
731595,1,0,27.8,28.5758738647858,-1.91883636755745,CL
731595,5,-0.515174772957167,-1.5,0.0963384053997139,-1.91883636755745,
732519,1,0,32.5,29.6417397365996,-1.9381040486374,CL
732519,5,-0.728347947319925,-1.5,0.290243898682529,-1.9381040486374,
733506,1,0,30.4,29.8466540615379,-1.9961528283739,CL
733506,5,-0.769330812307589,-1.5,0.273177983933687,-1.9961528283739,
734506,1,0,30,29.8880884861405,-2.05078842516064,CL
734506,5,-0.777617697228106,-1.5,0.226829272067467,-2.05078842516064,
735506,1,0,30,29.9183248238498,-2.09615427957413,CL
735506,5,-0.783664964769955,-1.5,0.187510685195823,-2.09615427957413,
736537,1,0,29.1,29.6958904024049,-2.1336564166133,CL
736537,5,-0.739178080480988,-1.5,0.105521663867691,-2.1336564166133,
737706,1,0,25.7,28.5773976450744,-2.15476074938684,CL
737706,5,-0.515479529014881,-1.5,-0.139281220371954,-2.15476074938684,
739087,1,0,21.8,26.5795106997087,-2.12690450531244,CL
739087,5,-0.115902139941737,-1.5,-0.511002365370707,-2.12690450531244,
740707,1,0,18.6,24.0774734629281,0.975295967761697,CL
740707,5,0.384505307414386,1.5,-0.909209339652688,0.975295967761697,
742631,1,0,15.6,21.2292904584877,1.15713783569223,CL
742631,5,0.954141908302455,1.5,-1.29700407261022,1.15713783569223,
742631,2,0,1,15.6,0,MEDIUM
745607,1,1,20.2,20.8300862493325,1.4564590711298,CL
745607,5,1.0339827501335,1.5,-1.0775236790037,1.4564590711298,
747937,1,1,25.8,22.7337496325128,1.48159746861251,CL
747937,5,0.653250073497445,1.5,-0.671652604884931,1.48159746861251,
750224,1,1,26.3,24.087325574113,1.48057039542948,CL
750224,5,0.38253488517741,1.5,-0.401964489747927,1.48057039542948,
752514,1,1,26.3,24.9244305366803,1.47725279712234,CL
752514,5,0.215113892663946,1.5,-0.23786109554161,1.47725279712234,
754516,1,1,30,26.784607871663,-1.66119271726762,CL
