info: [F: 7983] timeMs,evt,a,b,c,d,s
71010,1,0,19.8,23.2858702777612,1.5,OL:0>0
71010,5,0.54282594444775,1.5,-0.54282594444775,1.5,
72358,1,0,22.3,22.9540402747741,1.60856518888955,OL:0>0
72358,5,0.609191945045173,1.5,-0.500626756155623,1.60856518888955,
73706,1,0,22.3,22.7445062910303,1.70869054012067,OL:0>0
73706,5,0.65109874179393,1.5,-0.442408201673256,1.70869054012067,
74945,1,0,24.3,23.2229886451298,1.79717218045533,OL:0>0
74945,5,0.555402270974037,1.5,-0.258230090518711,1.79717218045533,
76313,1,0,22,22.8467057926067,1.84881819855907,OL:0>0
76313,5,0.630658841478657,1.5,-0.281840642919589,1.84881819855907,
77855,1,0,19.5,21.7893244138042,1.90518632714299,OL:0>0
77855,5,0.84213511723916,1.5,-0.436948790096174,1.90518632714299,
79366,1,0,19.9,21.1878418483588,1.99257608516222,OL:0>0
79366,5,0.962431630328238,1.5,-0.469855545166018,1.99257608516222,
80687,1,0,22.8,21.6885182822298,2.08654719419542,OL:0>0
80687,5,0.86229634355405,1.5,-0.275749149358626,2.08654719419542,
82088,1,0,21.5,21.6299532016938,2.14169702406715,OL:0>0
82088,5,0.874009359661232,1.5,-0.232312335594083,2.14169702406715,
83816,1,0,17.4,20.2514104446016,2.18815949118597,OL:0>0
83816,5,1.14971791107968,1.5,-0.461558419893711,2.18815949118597,
85531,1,0,17.5,19.3374582652916,2.28047117516471,OL:0>0
85531,5,1.33250834694169,1.5,-0.552037171776979,2.28047117516471,
87087,1,0,19.3,19.3251773575936,2.3908786095201,OL:0>0
87087,5,1.33496452848129,1.5,-0.444085918961185,2.3908786095201,
88622,1,0,19.6,19.4144789715621,2.47969579331234,OL:0>0
88622,5,1.31710420568759,1.5,-0.337408412375249,2.47969579331234,
90092,1,0,20.5,19.762524946341,2.54717747578739,OL:0>0
90092,5,1.24749501073179,1.5,-0.200317534944401,2.54717747578739,
91728,1,0,18.4,19.3180038565545,2.58724098277627,OL:0>0
91728,5,1.3363992286891,1.5,-0.249158245912828,2.58724098277627,
93146,1,0,21.2,19.9180282283866,2.63707263195884,OL:0>0
93146,5,1.21639435432267,1.5,-0.0793217223638367,2.63707263195884,
94587,1,0,20.9,20.228760627552,2.6529369764316,OL:0>0
94587,5,1.15424787448959,1.5,-0.00131089805799092,2.6529369764316,
