timeMs,evt,a,b,c,d,s
321329,5,-0.544795353128573,-1.5,0.180402427179118,-1.86439292594946,
322415,4,0,30.4,26,0,MEDIUM
323522,1,0,27.2,28.5265741223291,-1.62632870611645,CL
323522,5,-0.631643530582271,-1.5,0.505314824465817,-1.62632870611645,
324573,1,0,28.6,28.5549899965137,-1.72881246471885,CL
324573,5,-0.638747499128414,-1.5,0.409935034409568,-1.72881246471885,
325526,1,0,31.5,29.5132170324407,-1.85871082339711,CL
325526,5,-0.878304258110186,-1.5,0.519593434713072,-1.85871082339711,
326654,1,0,26.6,28.6256372695099,-1.91825052219318,CL
326654,5,-0.656409317377469,-1.5,0.238158795184284,-1.91825052219318,
327770,1,0,26.9,28.1184351264178,-1.94052217407544,CL
327770,5,-0.529608781604457,-1.5,0.0890866075290178,-1.94052217407544,
328762,1,0,30.3,28.7340456678154,-1.98912002265112,CL
328762,5,-0.683511416953845,-1.5,0.194391394302724,-1.98912002265112,
329757,1,0,30.2,29.1390117279422,-2.048246604518,CL
329757,5,-0.784752931985542,-1.5,0.236506327467537,-2.048246604518,
330784,1,0,29.3,29.1832527817479,-2.0977599227018,CL
330784,5,-0.795813195436987,-1.5,0.198053272735186,-2.0977599227018,
331837,1,0,28.5,28.9950715460964,-2.12796151546626,CL
331837,5,-0.748767886524103,-1.5,0.120806371057841,-2.12796151546626,
333381,1,0,19.5,26.1407477389904,-2.00940659932253,CL
333381,5,-0.0351869347476095,-1.5,-0.474219664574922,-2.00940659932253,
334885,1,0,20,24.2320474194224,1.18087234957085,CL
334885,5,0.441988145144399,1.5,-0.761115795573544,1.18087234957085,
336459,1,0,19.1,22.5954084362126,1.41492745784605,CL
336459,5,0.851147890946848,1.5,-0.936220433100795,1.41492745784605,
336459,2,0,1,19.1,0,MEDIUM
339509,1,1,19.7,21.4829905411066,1.76903422873212,CL
339509,5,1.12925236472336,1.5,-0.860218135991239,1.76903422873212,
341797,1,1,26.3,23.313634579683,1.6664812501439,CL
341797,5,0.671591355079253,1.5,-0.50511010493535,1.6664812501439,
341797,2,1,2,26.3,0,LOW
344804,1,2,30,26.0217668849219,0.291502527017911,CL
344804,5,-0.00544172123047737,0.520490178514073,-0.223545930265685,0.291502527017911,
347798,1,2,30.1,27.7072647883159,-1.99328641439859,CL
