timeMs,evt,a,b,c,d,s
3159391,1,0,12.9,19.651298412451,1.81743507937745,OL:0>0
3159391,5,1.58717539688724,1.5,-1.26974031750979,1.81743507937745,
3160960,1,0,19.1,19.4529318112622,2.08130147293885,OL:0>0
3160960,5,1.63676704718445,1.5,-1.0554655742456,2.08130147293885,
3162982,1,0,14.8,17.778796956346,2.37610133053378,OL:0>0
3162982,5,2.0553007609135,1.5,-1.17919943037972,2.37610133053378,
3164951,1,0,15.2,16.8565769897193,2.65805221494106,OL:0>0
3164951,5,2.28585575257016,1.5,-1.12780353762911,2.65805221494106,
3167639,1,0,11.2,14.6779390737989,2.9925448182629,OL:0>0
3167639,5,2.83051523155027,1.5,-1.33797041328737,2.9925448182629,
3169499,1,0,16.1,15.1948924291143,3.23429123315461,OL:0>0
3169499,5,2.70127689272143,1.5,-0.966985659566823,3.23429123315461,
3171084,1,0,18.9,16.4656708203389,3.36414944550674,OL:0>0
3171084,5,2.38358229491527,1.5,-0.519432849408535,3.36414944550674,
3172750,1,0,18,16.9836053630741,3.44213928825169,OL:0>0
3172750,5,2.25409865923148,1.5,-0.31195937097979,3.44213928825169,
3174813,1,0,14.5,16.1086942266578,3.54827671926846,OL:0>0
3174813,5,2.47282644333556,1.5,-0.424549724067097,3.54827671926846,
3176278,1,0,20.5,17.5700692994992,3.56011791043981,OL:0>0
3176278,5,2.10748267512519,1.5,-0.0473647646853836,3.56011791043981,
3177789,1,0,19.9,18.3298476240284,3.53160194715042,OL:0>0
3177789,5,1.91753809399289,1.5,0.11406385315753,3.53160194715042,
3179966,1,0,13.8,16.7342290667428,3.5885701043832,OL:0>0
3179966,5,2.31644273331431,1.5,-0.227872628931109,3.5885701043832,
3181915,1,0,15.4,16.2623811042026,3.65773702829643,OL:0>0
3181915,5,2.43440472394934,1.5,-0.276667695652914,3.65773702829643,
3183476,1,0,19.2,17.2542328022922,3.66347798252253,OL:0>0
3183476,5,2.18644179942695,1.5,-0.0229638169044121,3.66347798252253,
3185262,1,0,16.8,17.099578832279,3.67580344440408,OL:0>0
3185262,5,2.22510529193024,1.5,-0.049301847526169,3.67580344440408,
3186893,1,0,18.4,17.5351126721897,3.66388712191378,OL:0>0
3186893,5,2.11622183195259,1.5,0.0476652899611921,3.66388712191378,
3188220,1,0,22.6,19.1489051207242,3.57366444149481,OL:0>0
3188220,5,1.71277371981894,1.5,0.360890721675867,3.57366444149481,
3189784,1,0,19.2,19.1653599572616,3.50066355533277,OL:0>0
3189784,5,1.70866001068459,1.5,0.292003544648176,3.50066355533277,
3191586,1,0,16.6,18.3076844459148,3.48514662197047,OL:0>0
3191586,5,1.9230788885213,1.5,0.0620677334491697,3.48514662197047,
3193512,1,0,15.6,17.3732871401395,3.5194529405694,OL:0>0
3193512,5,2.15667821496512,1.5,-0.137225274395718,3.5194529405694,
3195323,1,0,16.6,17.106677855316,3.56022845968972,OL:0>0
3195323,5,2.223330536171,1.5,-0.163102076481279,3.56022845968972,
3196859,1,0,19.5,17.9027204309666,3.55304674620345,OL:0>0
3196859,5,2.02431989225835,1.5,0.0287268539451025,3.55304674620345,
3198650,1,0,16.8,17.5294524236026,3.56596477578263,OL:0>0
3198650,5,2.11763689409936,1.5,-0.0516721183167266,3.56596477578263,
3200471,1,0,16.5,17.1770052469841,3.5939215582769,OL:0>0
3200471,5,2.20574868825398,1.5,-0.111827129977083,3.5939215582769,
3202179,1,0,17.6,17.3204567204015,3.60911441060145,OL:0>0
3202179,5,2.16988581989963,1.5,-0.060771409298187,3.60911441060145,
3203841,1,0,18.1,17.5821456201807,3.60818424747212,OL:0>0
3203841,5,2.10446359495482,1.5,0.00372065251730424,3.60818424747212,
3205521,1,0,17.9,17.6886178063522,3.60211650766009,OL:0>0
3205521,5,2.07784554841196,1.5,0.0242709592481295,3.60211650766009,
3207084,1,0,19.2,18.1865144575854,3.5723674832488,OL:0>0
3207084,5,1.95337138560365,1.5,0.118996097645147,3.5723674832488,
3208687,1,0,18.7,18.3553166796426,3.54012815261691,OL:0>0
3208687,5,1.91117083008935,1.5,0.128957322527559,3.54012815261691,
3210648,1,0,15.3,17.3036991690521,3.56691756364093,OL:0>0
3210648,5,2.17407520773699,1.5,-0.107157644096058,3.56691756364093,
3214969,1,1,18.6,17.8219515285676,2.72670727071486,OL:0>1
3214969,5,2.04451211785809,1.5,-0.817804847143238,2.72670727071486,
3218602,1,1,16.5,17.2497910317414,2.97609231466744,OL:0>1
3218602,5,2.18755224206465,1.5,-0.711459927397212,2.97609231466744,
3221835,1,1,18.6,17.8311386546378,3.03118215671242,OL:0>1
3221835,5,2.04221533634055,1.5,-0.511033179628131,3.03118215671242,
3225259,1,1,17.5,17.6867715156929,3.15504386347979,OL:0>1
3225259,5,2.07830712107679,1.5,-0.423263257596998,3.15504386347979,
3228433,1,1,18.9,18.2080597994537,3.16150327243507,OL:0>1
3228433,5,1.94798505013659,1.5,-0.286481777701519,3.16150327243507,
3232026,1,1,16.7,17.542976417097,3.31856213532887,OL:0>1
3232026,5,2.11425589572575,1.5,-0.295693760396879,3.31856213532887,
3235530,1,1,17.1,17.3472768003751,3.40705582991653,OL:0>1
3235530,5,2.16318079990622,1.5,-0.256124969989691,3.40705582991653,
3239312,1,1,15.9,16.6952142970203,3.55609019941768,OL:0>1
3239312,5,2.32619642574492,1.5,-0.270106226327232,3.55609019941768,
3242804,1,1,17.2,16.9195236756264,3.57646503789222,OL:0>1
3242804,5,2.2701190810934,1.5,-0.193654043201181,3.57646503789222,
3246348,1,1,16.9,16.91085393012,3.61649630835842,OL:0>1
3246348,5,2.27228651747001,1.5,-0.155790209111588,3.61649630835842,
3249892,1,1,16.9,16.9060351138871,3.64837717261567,OL:0>1
3249892,5,2.27349122152823,1.5,-0.125114048912559,3.64837717261567,
3253147,1,1,18.4,17.5556990912519,3.57595038579346,OL:0>1
3253147,5,2.11107522718703,1.5,-0.0351248413935651,3.57595038579346,
3257489,1,1,13.8,15.8094064577252,3.84491924910117,OL:0>1
3257489,5,2.54764838556869,1.5,-0.202729136467518,3.84491924910117,
3261475,1,1,15.1,15.4806703949515,3.93477548581073,OL:0>1
3261475,5,2.62983240126212,1.5,-0.195056915451386,3.93477548581073,
3265408,1,1,15.3,15.3973074763447,3.98629130669203,OL:0>1
3265408,5,2.65067313091382,1.5,-0.164381824221787,3.98629130669203,
3270078,1,2,19.6,17.412133287637,3.07444223059988,OL:1>2
3270078,5,2.14696667809074,1.5,-0.572524447490865,3.07444223059988,
3274806,1,2,19,18.1866324838874,3.04695560078549,OL:1>2
3274806,5,1.95334187902816,1.5,-0.406386278242669,3.04695560078549,
3278621,1,2,23.6,20.7040063485416,2.66671431458075,OL:1>2
3278621,5,1.3239984128646,1.5,-0.157284098283854,2.66671431458075,
3283547,1,2,18.3,19.5280192650265,2.91376876621528,OL:1>2
3283547,5,1.61799518374337,1.5,-0.204226417528088,2.91376876621528,
3288104,1,2,19.7,19.6115724829281,2.93929595977227,OL:1>2
3288104,5,1.59710687926797,1.5,-0.157810919495696,2.93929595977227,
3292292,1,2,21.5,20.508506340015,2.80642026987216,OL:1>2
3292292,5,1.37287341499626,1.5,-0.0664531451241011,2.80642026987216,
3296492,1,2,21.4,20.9295456977328,2.74252034998204,OL:1>2
3296492,5,1.2676135755668,1.5,-0.0250932255847586,2.74252034998204,
3300822,1,2,20.8,20.8679928077932,2.75882369158792,OL:1>2
3300822,5,1.28300179805171,1.5,-0.024178106463782,2.75882369158792,
3305619,1,2,18.8,19.8578811258079,2.94884645457799,OL:1>2
3305619,5,1.53552971854803,1.5,-0.0866832639700456,2.94884645457799,
3310296,1,2,19.2,19.5363142034307,3.02513704314114,OL:1>2
3310296,5,1.61592144914232,1.5,-0.0907844060011811,3.02513704314114,
3316262,1,3,20.3,19.9327713044964,2.71344573910072,OL:2>3
3316262,5,1.5168071738759,1.5,-0.30336143477518,2.71344573910072,
3322587,1,3,19,19.4335171598441,2.87396885498622,OL:2>3
3322587,5,1.64162071003898,1.5,-0.26765185505276,2.87396885498622,
3328524,1,3,20.2,19.8399693019545,2.84620879757469,OL:2>3
3328524,5,1.54000767451138,1.5,-0.193798876936688,2.84620879757469,
3334699,1,3,19.4,19.6048482007288,2.93199279320717,OL:2>3
3334699,5,1.59878794981781,1.5,-0.166795156610637,2.93199279320717,
3340991,1,3,19.1,19.3333367544308,3.0196541137889,OL:2>3
3340991,5,1.66666581139231,1.5,-0.147011697603409,3.0196541137889,
3347170,1,3,19.4,19.3690759403393,3.04190861612787,OL:2>3
3347170,5,1.65773101491517,1.5,-0.115822398787299,3.04190861612787,
3353412,1,3,19.2,19.27826447386,3.0832353891812,OL:2>3
3353412,5,1.68043388153501,1.5,-0.0971984923538075,3.0832353891812,
3360836,1,2,19.9,19.5873351341659,2.67565522540291,OL:3>2
3360836,5,1.60316621645851,1.5,-0.427510991055604,2.67565522540291,
3365294,1,2,20.2,19.8846662936302,2.70664671104559,OL:3>2
3365294,5,1.52883342659246,1.5,-0.322186715546868,2.70664671104559,
3369609,1,2,20.9,20.3702997340133,2.68205125675138,OL:3>2
3369609,5,1.40742506649666,1.5,-0.225373809745283,2.68205125675138,
3374617,1,2,18,19.197665871331,2.94210889352554,OL:3>2
3374617,5,1.70058353216725,1.5,-0.258474638641717,2.94210889352554,
3379593,1,2,18.1,18.6509486740746,3.09403530741755,OL:3>2
3379593,5,1.83726283148135,1.5,-0.2432275240638,3.09403530741755,
3384334,1,2,19,18.8230117680372,3.11113591167049,OL:3>2
3384334,5,1.79424705799069,1.5,-0.183111146320196,3.11113591167049,
3388746,1,2,20.4,19.5846587201324,3.00812286638375,OL:3>2
3388746,5,1.6038353199669,1.5,-0.0957124535831471,3.00812286638375,
3392535,1,2,23.8,21.5359705904179,2.66952484754804,OL:3>2
3392535,5,1.11600735239552,1.5,0.0535174951525173,2.66952484754804,
3396695,1,2,21.6,21.5659219948449,2.65333025770592,OL:3>2
3396695,5,1.10851950128878,1.5,0.0448107564171452,2.65333025770592,
3401459,1,2,18.9,20.271235089744,2.88172737235765,OL:3>2
3401459,5,1.43219122756399,1.5,-0.05046385520634,2.88172737235765,
3405496,1,1,15,17.7956055699831,2.73065916450253,OL:2>1
3405496,5,2.05109860750422,1.5,-0.820439443001687,2.73065916450253,
3409200,1,1,16.2,17.0671539162668,3.00401480116032,OL:2>1
3409200,5,2.23321152093331,1.5,-0.729196719772985,3.00401480116032,
3412979,1,1,15.9,16.536246676862,3.22949023102563,OL:2>1
3412979,5,2.36593833078449,1.5,-0.636448099758863,3.22949023102563,
3416257,1,1,18.3,17.3106133017657,3.24062485724185,OL:2>1
3416257,5,2.17234667455857,1.5,-0.43172181731672,3.24062485724185,
3419680,1,1,17.5,17.3936832979958,3.31450872127068,OL:2>1
3419680,5,2.15157917550105,1.5,-0.337070454230369,3.31450872127068,
3422880,1,1,18.8,18.0003322924087,3.29092546295482,OL:2>1
3422880,5,1.99991692689782,1.5,-0.208991463943002,3.29092546295482,
3426727,1,1,15.6,16.9217147490107,3.49451638725312,OL:2>1
3426727,5,2.26957131274732,1.5,-0.275054925494204,3.49451638725312,
3430466,1,1,16,16.5055306754377,3.61195498338791,OL:2>1
3430466,5,2.37361733114057,1.5,-0.261662347752664,3.61195498338791,
3434434,1,1,15.1,15.8604317679803,3.76105228905705,OL:2>1
3434434,5,2.53489205800492,1.5,-0.273839768947869,3.76105228905705,
3438005,1,1,16.8,16.2826370601134,3.75248944902666,OL:2>1
3438005,5,2.42934073497164,1.5,-0.176851285944984,3.75248944902666,
3441151,1,1,19.1,17.5028201373033,3.60483224463717,OL:2>1
3441151,5,2.12429496567417,1.5,-0.0194627210369988,3.60483224463717,
3444541,1,1,17.7,17.5887305870574,3.59583822138146,OL:2>1
3444541,5,2.10281735323566,1.5,-0.00697913185419443,3.59583822138146,
3448560,1,1,14.9,16.3631784095261,3.78106687438199,OL:2>1
3448560,5,2.40920539761848,1.5,-0.128138523236482,3.78106687438199,
3452111,1,1,16.9,16.6035626385367,3.77063694467769,OL:2>1
3452111,5,2.34910934036582,1.5,-0.0784723956881225,3.77063694467769,
3455921,1,1,15.7,16.1940763129246,3.84775437265713,OL:2>1
3455921,5,2.45148092176884,1.5,-0.103726549111708,3.84775437265713,
3457709,1,0,17.4,16.6579802657516,1.96710098671242,OL:1>0
3457709,5,2.3355049335621,1.5,-1.86840394684968,1.96710098671242,
3459354,1,0,18.2,17.2046268886119,2.31344944493934,OL:1>0
3459354,5,2.19884327784703,1.5,-1.38539383290769,2.31344944493934,
3461329,1,0,15.2,16.4916406980415,2.6261775210494,OL:1>0
3461329,5,2.37708982548963,1.5,-1.25091230444023,2.6261775210494,
3463016,1,0,17.8,16.9417050528605,2.8538567641965,OL:1>0
3463016,5,2.26457373678488,1.5,-0.910716972588388,2.8538567641965,
3464704,1,0,17.8,17.2326415762441,3.02145333254499,OL:1>0
3464704,5,2.19183960593898,1.5,-0.670386273393985,3.02145333254499,
3466517,1,0,16.5,16.9819153282885,3.16806689962157,OL:1>0
3466517,5,2.25452116792788,1.5,-0.586454268306309,3.16806689962157,
3468762,1,0,13.4,15.6862478212106,3.35014112863672,OL:1>0
3468762,5,2.57843804469735,1.5,-0.728296916060624,3.35014112863672,
3470695,1,0,15.5,15.6197716104012,3.49912432238932,OL:1>0
3470695,5,2.59505709739971,1.5,-0.59593277501039,3.49912432238932,
3472484,1,0,16.8,16.0315338026108,3.59772276778092,OL:1>0
