timeMs,evt,a,b,c,d,s
137419,1,0,27,28.4209928003031,-1.62104964001516,CL
137419,5,-0.605248200075787,-1.5,0.484198560060629,-1.62104964001516,
138409,1,0,30.3,29.1439267277044,-1.75403604839734,CL
138409,5,-0.785981681926095,-1.5,0.53194563352875,-1.75403604839734,
139445,1,0,29,29.0967026929023,-1.85806397336299,CL
139445,5,-0.774175673225581,-1.5,0.416111699862589,-1.85806397336299,
140414,1,0,31,29.6643636778689,-1.96966936258384,CL
140414,5,-0.91609091946723,-1.5,0.44642155688339,-1.96966936258384,
141418,1,0,29.9,29.7315260463652,-2.06231179238533,CL
141418,5,-0.93288151159131,-1.5,0.370569719205976,-2.06231179238533,
142408,1,0,30.3,29.8892605015191,-2.14431245898422,CL
142408,5,-0.972315125379764,-1.5,0.328002666395545,-2.14431245898422,
143417,1,0,29.7,29.8373074752072,-2.20731534094774,CL
143417,5,-0.959326868801803,-1.5,0.252011527854066,-2.20731534094774,
144410,1,0,30.2,29.9359942467235,-2.26265198509436,CL
144410,5,-0.983998561680873,-1.5,0.221346576586509,-2.26265198509436,
145421,1,0,29.7,29.8718577994367,-2.30371447804732,CL
145421,5,-0.967964449859166,-1.5,0.164249971811842,-2.30371447804732,
146414,1,0,30.2,29.9606672849716,-2.34100494668644,CL
146414,5,-0.990166821242897,-1.5,0.149161874556458,-2.34100494668644,
147405,1,0,30.3,30.0522654668857,-2.37541723069344,CL
147405,5,-1.01306636672143,-1.5,0.137649136027997,-2.37541723069344,
148510,1,0,27.1,29.2386468115678,-2.36226612513314,CL
148510,5,-0.809661702891945,-1.5,-0.0526044222411945,-2.36226612513314,
149973,1,0,20.5,26.6457910732774,-2.22210245377038,CL
149973,5,-0.161447768319351,-1.5,-0.560654685451031,-2.22210245377038,
151352,1,0,21.8,25.1777727017352,0.963429401896933,CL
151352,5,0.205556824566194,1.5,-0.74212742266926,0.963429401896933,
153102,1,0,17.1,22.5655357290247,1.24246673506631,CL
153102,5,0.858616067743833,1.5,-1.11614933267752,1.24246673506631,
153102,2,0,1,17.1,0,MEDIUM
155354,1,1,26.6,23.9947428190915,1.25131553809179,CL
155354,5,0.501314295227125,1.5,-0.749998757135333,1.25131553809179,
157369,1,1,29.8,26.0685142742684,-0.96517865680942,CL
